Group,Subgroup,Language,Number of speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,"154,625","4,288","55,550","2,123"
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Rhaeto-Romanic,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,"2,235",318,235,97
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,"20,590","1,291","2,505",384
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,"1,635",264,190,125
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,"133,870","5,513","58,820","2,710"
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,"39,790","2,080","12,370","1,070"
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,"16,035",966,"3,300",465
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,"22,760","2,595","9,840","1,320"
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,"17,020","1,830","6,870",740
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Balochi,185,182,85,96
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Tadzhik,435,347,350,270
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Ossete,50,48,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,"1,867,485","13,875","1,054,885","8,578"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,"1,350",307,840,263
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","Kan, Hsiang",50,65,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,"458,840","6,487","257,625","4,433"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,"487,250","7,953","240,810","5,571"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,"1,450",455,"1,175",418
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,"77,675","2,687","44,140","1,939"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,"2,670",466,"1,375",287
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,"449,475","7,214","194,436","4,164"
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,"1,117,343","11,453","617,905","7,120"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian","212,167","6,281","109,633","4,140"
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,"214,943","5,719","92,861","3,459"
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,"152,649","4,111","79,746","2,794"
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,"152,647","4,370","75,885","2,526"
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,"1,399,936","14,387","839,237","8,589"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karakalpak,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,"1,480",382,750,254
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kirghiz,550,243,305,188
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karachay,420,196,140,100
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,"8,905","1,288","5,895",886
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,"2,085",596,"1,025",364
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,"116,515","3,904","43,495","2,084"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkmen,205,113,75,51
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,"10,180","1,208","5,430",763
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tungus,235,149,120,104
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,"1,150",356,160,131
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,"1,470",424,270,137
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,"247,760","5,508","51,635","2,104"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,"48,620","2,191","7,425",967
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,"146,310","4,254","41,535","1,840"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,"190,685","4,415","33,885","1,935"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Munda,"2,030",504,235,134
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burushaski,95,122,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,"16,730","1,571","9,735","1,072"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,"62,645","3,308","44,530","2,657"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,"30,185","2,426","26,440","2,238"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,520,280,415,241
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,"19,010","2,201","8,220","1,066"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Paleo-siberian,530,329,385,274
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,"1,613,346","13,019","516,522","6,649"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,"67,410","3,220","29,400","1,702"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Achinese,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Balinese,795,437,160,136
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Cham,"1,050",403,500,234
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Javanese,495,250,135,104
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malagasy,720,231,225,101
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,"14,580","1,285","4,910",618
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Minangkabau,15,21,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sundanese,35,39,35,39
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,"29,800","1,858","11,505","1,134"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,"15,700","1,364","4,935",620
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pangasinan,"2,265",504,"1,115",338
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,"85,755","3,320","47,250","2,472"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bikol,695,213,200,95
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,"5,620",750,"2,460",474
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,"7,830","1,409","3,435",777
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Carolinian,945,389,545,310
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,"19,780","1,473","3,195",443
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Gilbertese,170,104,85,70
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Kusaiean,"1,165",467,445,218
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,"18,485","1,838","9,545","1,069"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Mokilese,500,250,190,141
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Mortlockese,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Nauruan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,"4,140",704,"1,290",340
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,"3,525",809,"1,495",401
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,"8,790","1,146","5,200",867
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ulithean,40,41,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Woleai-Ulithi,140,142,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Yapese,720,266,350,178
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,"1,305",338,295,154
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Polynesian,435,166,160,83
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,"64,135","2,669","16,905","1,277"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,"31,440","2,677","8,855",968
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Niuean,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tokelauan,125,91,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,"5,755",884,"1,360",377
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marquesan,135,85,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Rarotongan,95,87,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Maori,460,235,145,139
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Nukuoro,210,143,85,89
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,"26,205","1,599","4,280",647
ALL OTHER LANGUAGES,Navajo,Navajo,"166,826","2,493","35,250","1,340"
ALL OTHER LANGUAGES,Other Native North American languages,Aleut,995,184,170,81
ALL OTHER LANGUAGES,Other Native North American languages,Pacific Gulf Yupik,70,51,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Eskimo,"1,270",250,265,77
ALL OTHER LANGUAGES,Other Native North American languages,Inupik,"6,740",417,"1,365",192
ALL OTHER LANGUAGES,Other Native North American languages,St. Lawrence Island Yupik,"1,070",124,285,54
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,"19,750",897,"5,930",421
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,"1,030",323,265,193
ALL OTHER LANGUAGES,Other Native North American languages,Arapaho,"1,065",223,50,27
ALL OTHER LANGUAGES,Other Native North American languages,Atsina,55,48,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,"1,450",231,65,42
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,"1,920",347,175,88
ALL OTHER LANGUAGES,Other Native North American languages,Cree,870,231,190,117
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,240,109,60,71
ALL OTHER LANGUAGES,Other Native North American languages,Fox,400,119,75,36
ALL OTHER LANGUAGES,Other Native North American languages,Kickapoo,820,189,220,84
ALL OTHER LANGUAGES,Other Native North American languages,Menomini,405,152,85,57
ALL OTHER LANGUAGES,Other Native North American languages,French Cree,170,125,120,120
ALL OTHER LANGUAGES,Other Native North American languages,Miami,115,130,55,103
ALL OTHER LANGUAGES,Other Native North American languages,Micmac,205,71,40,39
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,"9,735",659,"1,110",247
ALL OTHER LANGUAGES,Other Native North American languages,Ottawa,965,315,155,97
ALL OTHER LANGUAGES,Other Native North American languages,Passamaquoddy,845,130,55,27
ALL OTHER LANGUAGES,Other Native North American languages,Penobscot,75,41,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Abnaki,55,31,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Potawatomi,985,196,60,37
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,255,134,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Yurok,350,110,25,25
ALL OTHER LANGUAGES,Other Native North American languages,Kutenai,215,151,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Makah,150,108,80,87
ALL OTHER LANGUAGES,Other Native North American languages,Kwakiutl,175,103,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Nootka,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Upper Chehalis,4,8,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Clallam,145,94,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Coeur d'Alene,95,59,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Columbia,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Salish,"1,350",252,100,49
ALL OTHER LANGUAGES,Other Native North American languages,Okanogan,230,152,110,100
ALL OTHER LANGUAGES,Other Native North American languages,Puget Sound Salish,215,92,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Quinault,145,89,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Tillamook,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Twana,(D),(D),(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Haida,180,103,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Athapascan,"1,265",172,170,44
ALL OTHER LANGUAGES,Other Native North American languages,Ahtena,45,33,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Han,60,91,40,60
ALL OTHER LANGUAGES,Other Native North American languages,Ingalit,15,12,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Koyukon,65,43,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Kuchin,"1,285",322,305,95
ALL OTHER LANGUAGES,Other Native North American languages,Upper Kuskokwim,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Tanaina,90,58,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Tanana,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Upper Tanana,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Chasta Costa,165,106,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Hupa,70,39,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Other Athapascan-Eyak,25,34,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Apache,"13,445",825,"1,595",277
ALL OTHER LANGUAGES,Other Native North American languages,Kiowa,750,224,30,24
ALL OTHER LANGUAGES,Other Native North American languages,Tlingit,"1,240",239,130,56
ALL OTHER LANGUAGES,Other Native North American languages,Mountain Maidu,200,148,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Northwest Maidu,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Southern Maidu,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Sierra Miwok,155,105,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Nomlaki,(D),(D),(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Patwin,4,6,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Wintun,135,105,40,70
ALL OTHER LANGUAGES,Other Native North American languages,Foothill North Yokuts,225,133,85,76
ALL OTHER LANGUAGES,Other Native North American languages,Tachi,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Santiam,55,46,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Siuslaw,10,14,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Klamath,205,136,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Nez Perce,805,173,40,30
ALL OTHER LANGUAGES,Other Native North American languages,Sahaptian,"1,295",384,110,52
ALL OTHER LANGUAGES,Other Native North American languages,Upper Chinook,270,151,50,63
ALL OTHER LANGUAGES,Other Native North American languages,Tsimshian,40,26,15,21
ALL OTHER LANGUAGES,Other Native North American languages,Achumawi,(D),(D),(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Atsugewi,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Karok,445,200,100,106
ALL OTHER LANGUAGES,Other Native North American languages,Pomo,485,204,70,65
ALL OTHER LANGUAGES,Other Native North American languages,Washo,215,74,45,38
ALL OTHER LANGUAGES,Other Native North American languages,Cocomaricopa,35,30,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Mohave,200,62,35,30
ALL OTHER LANGUAGES,Other Native North American languages,Yuma,290,126,80,62
ALL OTHER LANGUAGES,Other Native North American languages,Diegueno,295,180,40,48
ALL OTHER LANGUAGES,Other Native North American languages,Delta River Yuman,365,154,10,10
ALL OTHER LANGUAGES,Other Native North American languages,Havasupai,145,99,4,10
ALL OTHER LANGUAGES,Other Native North American languages,Walapai,300,92,4,10
ALL OTHER LANGUAGES,Other Native North American languages,Yavapai,245,114,20,16
ALL OTHER LANGUAGES,Other Native North American languages,Chumash,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Tonkawa,50,64,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Yuchi,165,138,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Crow,"4,160",519,215,166
ALL OTHER LANGUAGES,Other Native North American languages,Hidatsa,625,169,50,42
ALL OTHER LANGUAGES,Other Native North American languages,Mandan,75,70,20,25
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,"17,855","1,091","1,330",232
ALL OTHER LANGUAGES,Other Native North American languages,Chiwere,105,64,25,21
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,"1,720",293,185,74
ALL OTHER LANGUAGES,Other Native North American languages,Kansa,20,26,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Omaha,480,162,15,9
ALL OTHER LANGUAGES,Other Native North American languages,Osage,420,155,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Ponca,305,145,25,26
ALL OTHER LANGUAGES,Other Native North American languages,Quapaw,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Alabama,370,141,70,44
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,"9,635",747,"1,425",256
ALL OTHER LANGUAGES,Other Native North American languages,Mikasuki,290,134,65,49
ALL OTHER LANGUAGES,Other Native North American languages,Koasati,365,135,25,21
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,"4,465",477,710,202
ALL OTHER LANGUAGES,Other Native North American languages,Chetemacha,65,43,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Keres,"13,190",730,"2,295",339
ALL OTHER LANGUAGES,Other Native North American languages,Iroquois,165,140,65,101
ALL OTHER LANGUAGES,Other Native North American languages,Mohawk,"1,945",431,225,92
ALL OTHER LANGUAGES,Other Native North American languages,Oneida,770,224,65,59
ALL OTHER LANGUAGES,Other Native North American languages,Onondaga,75,94,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Cayuga,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Seneca,"1,015",232,210,88
ALL OTHER LANGUAGES,Other Native North American languages,Tuscarora,240,131,40,31
ALL OTHER LANGUAGES,Other Native North American languages,Wyandot,30,34,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,"11,465",941,"1,460",240
ALL OTHER LANGUAGES,Other Native North American languages,Arikara,155,66,40,27
ALL OTHER LANGUAGES,Other Native North American languages,Caddo,115,110,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Pawnee,95,52,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Wichita,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Comanche,"1,015",258,90,58
ALL OTHER LANGUAGES,Other Native North American languages,Mono,355,226,105,112
ALL OTHER LANGUAGES,Other Native North American languages,Paiute,"1,305",264,200,76
ALL OTHER LANGUAGES,Other Native North American languages,Northern Paiute,30,24,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Southern Paiute,(D),(D),(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Chemehuevi,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Kawaiisu,(D),(D),(B),--
